点名,评论数,均价,口味,环境,服务,地址,电话,
东方宫中国兰州牛肉拉面(车公庙店),138,22,7.9,8,7.9, 车公庙泰然四路11栋11号商铺(泰然四路与泰然九路交汇处) ,0755-23610862,
汉堡王(万科天誉广场店),635,37,8.3,8.3,8.1, 龙翔大道1号龙岗万科广场L-铺(近龙城广场) ,0755-28228701,
肯德基(布吉万象汇店),44,32,7.8,7.8,7.8, 翔鸽路深圳华润万象汇购物中心层L号层 ,0755-28684071,
丁记烩面馆(南侨花园店),条评论,元,.,.,0.1, 桥铺 ,111,
约见面(kk,1,1,.,.,., 基时代B1B1 ,-,
丸龟制面(东海缤纷天地店),1,元,.,.,., 缤纷地B ,-,
戴记普宁肠粉王(新洲店),1,1,.,.,., 洲1栋1(至尊烧鹅店旁边小巷子) ,11111,
鱼你在一起(中洲店),32,31,7.4,7.6,7.8, 创业二路中洲购物中心L ,18126524589,
汉堡王(深圳桃园路店),483,26,7.7,8,7.7, 桃园路田厦金牛广场A座-1和11号商铺 ,0755-86667741,
丸龟制面(深圳南山华侨城店),198,34,7.5,7.7,7.5, 兴隆街沃尔玛门口 ,0755-26006843,
红荔村肠粉(宝安店),300,26,8.3,8.2,8, 新安街道创业路洪福雅苑一栋裙楼11室 ,0755-29171580,
麦当劳(怡景中心城店),238,29,7.7,7.8,7.7, 福华一路怡景中心城G层 ,0755-82801522,
芳叔(购物公园店),263,18,8.1,7.8,7.8, 福华路连天地商业街A1A号 ,13265698494,
三只松鼠(万象汇店),153,64,8.6,8.8,8.6, 翔鸽路与南环路交口万象汇1层 ,0755-82190688,
米芝莲(印力中心店),49,25,7.9,7.7,7.9, 农林路号深国投广场B1楼 ,添加,
山海游冒菜(储能大厦店),85,42,8.2,8.4,8.2, 科苑南路号中国储能大厦负一层1号商铺 ,0755-86700173,
俏凤凰(万象诚品店),33,35,8,8.4,8.4, 粤海街道华润万象天地NL1NL1LG1铺 ,0755-86169976,
Hi味花甲(IBC,53,28,7.8,7.8,8.1, 布心路号水贝珠宝总部大厦IBCMALL B1-1号商铺（近盒马鲜生）(号线水贝地铁站) ,13160523067,
汉堡王(COCO,845,30,7.9,8.1,7.9, 民治街道星河盛世一楼Coco City(上河坊购物广场斜对面) ,0755-23764939,
大家乐(新洲店),条评论,元,.,.,., 洲邑裙(近之) ,-1,
揭西擂茶(龙华店),109,22,7.8,7.7,7.7, 龙华街道人民路华侨花园华侨楼1层 ,13714011151,
砂师弟砂锅牛腩煲(布吉佳兆业广场店),255,64,8,8,7.7, 龙岗大道1号布吉佳兆业广场层 ,13533125924,
大弗兰・湖南米粉小吃(连城新天地店),159,32,7.6,7.9,7.7, 福华路连城新天地一期C1C(近会展中心站) ,0755-82535161,
喜家德虾仁水饺(水贝IBC店),29,35,8,7.8,7.8, 布心路号(IBC环球商务中心B1层) ,添加,
大家乐餐馆(华强北店),302,33,7.6,7.7,7.6, 华强北路11号华强广场B1楼A1号 ,0755-83258901,
马子禄牛肉面(竹子林店),条评论,元,.,.,., 竹子D出口米 ,-1,
喜家德虾仁水饺(星河WORLD店),33,37,8.2,8,8.3, 雅宝路1号星河WORLD・COCOParkB1层星享食汇集合美食空间 ,18025855277,
东北自助水饺,24,26,7.7,7.6,8.1, 海昌街1号 ,15945020304,
福客FOOOK麻辣烫(COCOPark店),341,37,7.5,7.6,7.6, 福田中心二路11号星河COCOPark负一楼(三号地铁购物公园站F出口约米) ,15112445850,
红荔村肠粉(95分店),143,28,8.1,7.9,7.5, 解放路号(近地王大厦) ,0755-25981813,
寻秦记西安手工面(下沙店),1,元,.,.,., 下好裙11地铁B出口 ,-,
红荔村肠粉(丽苑42店),311,26,7.9,7.5,7.3, 东门中路号丽苑酒店1楼西面(近茂业百货) ,0755-82298208,
庙东排骨(大芬店),119,23,8,7.6,8, 布吉街道龙岗大道号楼临东大街号(大芬地铁站A出口苏宁易购旁) ,15044094733,
手心的你,136,13,7.9,7.8,8, 东门街道解放路太阳广场楼1A-1号 ,13715155495,
麦当劳(皇岗路店),条评论,元,.,.,0.1, 岗1商B1M商铺 ,-,
大潮汕深夜豆浆,23,20,7.5,7.3,7.3, 长发中路1号 ,添加,
临津门邵阳米粉(东滨路店),33,25,8.2,7.7,7.9, 招商街道东滨路紫竹园商业街1铺 ,0755-88271680,
秦人面f(保税区店),581,22,8.5,7.9,8.2, 红树福苑栋11室 ,13530721012,
裕芳餐厅,91,49,7.4,6.9,7, 新安二路中粮天悦壹号 ,0755-27786369,
伊兰兴兰州牛肉面,条评论,元,.,.,., 11科C座商铺 ,-,
想点就点(kk,102,21,7.3,7.4,7.5, 滨河大道号京基滨河时代北区B1层B11 ,0755-88635030,
云味馆过桥米线(景田店),1289,30,7.8,8.2,7.7, 景田地铁站D出口麦当劳隔壁 ,0755-83141960,
哟部落美食寿司店,198,31,8.3,8.2,8.3, 桃源街道平山一路号(哈尔滨工业大学对面) ,18923838355,
肯德基(中心书城店),264,33,7.5,7.5,7.5, 红荔路深圳中心书城首层 ,0755-23992161,
饺小仙,条评论,元,.,.,., 子111水地铁d出口水1裙B1-1 ,111,
万利记老长沙米粉小吃社(龙华九方购物中心店),1,1,.,.,., 方购物 ,-11,
老厝边潮汕@条汤,条评论,1,.,.,., 塘白地铁B出口玖荟1 ,添加,
正宗丁记卤鹅,25,51,8.1,7.5,7.4, 新安街道区建安一路号F栋1号 ,13829016458,
老北京煎饼铺(海岸城店),118,11,7,7,7.2, 文心四路号海岸城西座1层 ,15019419927,
万利记老长沙米粉小吃社(万象汇店),185,28,7.5,7.4,7.2, 深圳华润万象汇购物中心L1层Y11号商铺 ,0755-84821242,
央宗米线-出自云南(创意园店),633,38,7.3,7.6,7.4, 华侨城创意园北区A-1(泡泡艺廊对面) ,0755-86233299,
飨乐,241,25,8,7.9,8, 莲花街道福中三路市民中心地铁站负1层物业区A-商铺A ,0755-82522902,
珍珍烧腊饭店,52,50,7.7,7.3,7.6, 光明小区光明大街号 ,0755-27400682,
老边饺子(桂庙路店),条评论,元,.,.,., 庙仰下 ,-1,
啃得香饼店,条评论,元,.,.,., 同1 ,-,
早约煎饼语茶(卓悦intown店),157,17,7.4,7.6,7.6, 福华三路金田路号卓越intown一楼l1-D ,13425166066,
冰冰便利店,220,20,7.2,6.6,6.9, 深南东路南塘商业广场b区1号(东门町里) ,15999603323,
阿甘锅盔(新沙天虹店),27,9,8.1,7.7,7.7, 西环路1号(新沙天虹购物广场三楼，精致生活超市旁) ,添加,
俏凤凰(连城新天地店),条评论,元,.,.,., 地负C1B(会展) ,-1,
红荔村肠粉(白石洲分店),条评论,元,.,.,., 下白 ,11,
日月永和(凤凰店),368,23,7.3,7.1,7.1, 凤凰路凤山大厦一楼中座号前厅 ,0755-25412102,
桥洞专业炒粉,条评论,1,.,.,., 田岗围1-1 ,11,
湛江渔港(水围店),262,98,7.1,6.6,6.9, 水围村水围街1号(近水围新家园) ,0755-83815248,
西贝超级肉夹馍(皇岗店),115,37,7.4,7.6,7.4, 福民路与益田路交叉口皇达东方雅苑商业裙楼首层 ,添加,
麦当劳(景田店),1,元,.,.,., 莲色首F#(监控对面) ,-11,
艾薯Aysh(观澜湖MHmall店),条评论,元,.,.,., 观澜高夫观澜MH MALL期 ,-,
大家乐餐厅(喜荟城店),582,37,7.5,7.6,7.6, 太宁路号喜荟城购物中心1楼1号铺(近水库公园) ,0755-29153088,
板烧厨房(龙华旗舰店),60,21,7.8,7.8,7.8, 民塘路龙光玖龙荟一层1N11铺(龙华号线白石龙地铁站C出口旁) ,0755-21046751,
卤鹅有约(福永总店),106,53,7.9,8,7.8, 福海街道宝安大道号星港同创汇天枢座1单元 ,0755-26626629,
山海游冒菜(南山茂业店),1,元,0.1,.,., 百货负1 ,-,
汉堡王(大梅沙店),113,32,8,8.4,7.8, 大梅沙怀渡街-11、-1、-1大梅沙奥特莱斯购物中心一期栋L1号 ,0755-22742030,
牛牛潮汕牛肉店,1,元,.,.,., 水围 ,-,
大弗兰丨湖南米粉小吃(侨香店),条评论,元,.,.,., 侨HiRunning商 ,-,
N记肠粉王(福华路店),1403,28,7.2,6.9,6.6, 福华路号 ,0755-83188027,
云味馆米线(熙Z城店),79,31,8.3,8.4,8.3, 富安大道1号 ,15989335893,
物碗@条,条评论,元,.,0.1,., 洲1 ,11,
艾薯Aysh(南山海雅店),1,元,.,.,., 雅缤纷1(近岸店) ,-,
笨猪笑小鲜肉米线(东门店),16,26,7.7,7.5,8.1, 东门老街南庆街号汇商名苑1-商铺(朱古力普罗旺斯俱乐部旁边) ,15999663338,
和记砂锅粥(沙头角店),112,49,7.6,7.2,7.3, 东和路号(沙头角中学对面) ,0755-25357752,
小马手擀面,条评论,元,.,.,., 地铁A出口寸时美食驿 ,-,
汉堡王(深南中路店),235,28,7.7,7.9,7.6, 深南中路1号百货广场大厦东大门项目内一层L1号商铺 ,0755-82341292,
滇月小锅米线(壹方城店),268,31,7.2,7.3,6.9, 新湖路壹方城B层号铺(宝安中心站地铁F出口) ,0755-23004513,
尚千碗・白家肥肠粉(市民中心店),1,元,.,.,., 地铁地铁物寸时美食隐烫旁 ,1,
张氏宽窄巷成都名小吃(中洲πmall店),249,57,7.3,7.6,7, 创业二路号中洲・πmallA区B1层B1-1商铺 ,17512064702,
麦当劳(深圳北站高铁店),179,36,7.6,7.6,7.3, 深圳北站站内层 ,0755-83722177,
徐东家的凉皮铺子(太古城店),1,元,.,.,., 负铺 ,1,
大家乐(连城店),887,37,7.5,7.5,7.4, 福华路B1楼B城新天地商业街BA号 ,0755-23609909,
斗来香传统港式美食,86,17,7.8,7.6,7.8, 中梅路1公馆北区1铺(光浩国际对面) ,13684915689,
美珍香(深圳宝安机场T3店),48,132,8.1,7.8,7.3, 深圳宝安机场号航站楼禁区内层(近-号登机口) ,0755-23459275,
崔记水煎包,1,元,.,.,., 白洲1 ,1,
肯德基(高新区店),149,36,7.5,7.8,7.6, 科苑大道深圳高新区综合服务楼一楼 ,0755-26017721,
阿叔牛杂(黄贝岭店),163,27,7.2,6.6,6.8, 黄贝岭上村栋1号铺 ,15013799173,
德克士(北站店),117,40,7.7,7.7,7.6, 民治街道致远中路号深圳北站F层 ,0755-66856428,
大邱里,60,42,7.1,7.5,7.4, 公明街道公园路1号楼A区(湘里小厨三楼，公明建设银行旁) ,0755-23425487,
老碗会・手工陕面小吃(农林路店),94,35,7.6,7.7,7.8, 香蜜湖街道深南路与农林路交界处西北鑫竹苑bc座一层号A ,0755-82798106,
汉堡王(卓越世纪中心店),381,30,7.6,7.7,7.4, 福华三路与金田路交汇处卓越世纪中心、号裙楼L11号铺 ,0755-88604361,
渝面小生(皇庭广场店),137,18,7.4,7.3,7.4, 福华三路皇庭广场B1-H- ,17317100980,
芳叔(来福士店),109,22,7.4,7.1,7.3, 南海大道1号来福士广场B1层A铺 ,15920029104,
邵粉源粉面店,106,22,8.3,8.1,8.1, 梅龙大道1号昌盛科技大厦一楼11室 ,18603000878,
螺师爷,1,元,.,.,., 下好裙 ,-,
福客FOOOK麻辣烫(海岸城店),75,37,7.4,7.7,7.2, 海德二道海岸城购物中心负一层号铺 ,0755-26062555,
东方宫中国兰州牛肉拉面(科技园文化广场店),563,22,7.7,7.7,7.6, 深南大道科技园M栋1室(科技园文化广场负一层) ,13500056075,
麦当劳(罗湖解放路店),11,元,.,.,., 宝1展首-A商铺 ,-,
饺子李,48,20,8.3,7.1,7.8, 新圳西路(近海雅缤纷城,甲岸村1栋) ,13612970712
蓉李记成都名小吃(九方店),1565,37,7.3,7.4,7.3, 龙华新区民治人民路号九方购物中心L层 ,0755-85298986,
正宗老罗家臭豆腐(下沙店),条评论,元,.,.,., 下- ,1,
剪壹碗化州牛腩,89,33,7.5,7.7,7.7, 西环路1号天虹商场七层1A铺 ,13728684407,
B仔牛杂,41,24,7.8,6.7,7.6, 蛇口新街号 ,13670109346,
My,553,48,7.1,8.1,7.2, 华侨城LOFT创意产业园F-1栋1-1号(近康佳北) ,0755-86102584,
吉祥馄饨(丰盛町店),条评论,元,.,.,., 车庙丰盛町商步行BCDB--铺 ,-1,
肯德基(华润万象城店),253,26,8,8,7.9, 宝安南路11号华润万象城一期中座B1层B ,0755-82668019,
秦喜肉夹馍(华强北店),1,元,.,.,., 航1方购物负1B1商铺 ,11,
袁记饺子云吞(新洲店),28,11,7.6,7.4,7.6, 新洲二街1号 ,15973740875,
麦当劳(中康路分店),1,元,.,.,., 卓悦汇购物负商铺 ,-,
土豪肠粉,1,元,.,.,., 彩田艺丰A栋11室 ,-,
汉堡王(沙河西路店),88,35,7.6,7.6,7.5, 粤海街道沙河西路1号深圳湾科技生态园栋C区1层-号 ,0755-26925216,
石磨记湖南米粉铺,30,17,7.9,7.6,7.8, 清泉路惠乐购百货大门正对面 ,15338781469,
蒙自源小锅米线(海岸城店),65,17,7.7,7.4,7.5, 后海海德三道1号天利中央商务广场(1cc旁) ,0755-22677072,
老陕biangbiang面・三哥面食馆,142,22,7.9,7.5,7.3, 中翠路中翠花园商铺1号 ,0755-22001842,
麦当劳(观光路DT店),1,元,.,.,0.1, 水坑阁郡 ,-1,
刘氏烤冷面,52,10,7.8,7.1,7.8, 坂田五和地铁站B出口南行米(通达五金店内) ,13970540798,
徐记煎饼果子,条评论,元,.,.,0.1, 车庙丰盛町B- ,1111,
日月永和(东湖店),48,23,7.6,7.5,7.4, 太安路号 ,0755-25008248,
王记潮汕汤粉店,11,1,.,0.1,., 景田景田综侧A座A ,11,
汉堡王(深圳蔡屋围店),1321,32,7.6,7.6,7.5, 蔡屋围蔡屋围京基金融中心地下商业-1层 ,0755-82025622,
麦当劳(翠竹店),245,28,8.1,8.1,8.2, 田贝一路华丽苑首层 ,0755-25626992,
潮汕砂锅粥(民丰路店),27,61,7.1,6.9,7.1, 民丰路1号(民治大道与民丰路交汇处向东米) ,13691935082,
乐干面・武汉热干面(来福士广场店),115,29,6.9,7.4,7.5, 南海大道1号来福士广场B1层 ,0755-86963231,
渔小白(创维店),条评论,元,.,.,., 粤高社高1维半导计11 ,111,
唐氏锅贴(科技园店),1,元,.,.,., 粤臻 ,-1,
麦当劳(kk,1,元,0.1,.,., 基时代111、11、11、1 ,-,
林记潮汕特色牛肉@店,41,20,7.3,6.9,7, 沙河街下白石二坊1号 ,13502569299,
大弗兰丨湖南小吃米粉(坂田星河店),1,元,.,.,., 行米 ,-11,
万利记老长沙米粉小吃社(丰盛町店),421,29,7.7,7.5,7.5, 深南大道丰盛町负二楼(车公庙地铁站C出口旁) ,0755-82575547,
黔派虾子羊肉粉(佳宁娜广场店),1,元,.,.,., 佳娜外扶梯底玻璃屋G铺 ,11,
麦当劳(农林路店),94,22,8.1,7.8,7.8, 农林路深国投商业中心山姆会员店一层麦当劳 ,0755-82558459,
大家乐(宝能太古店),条评论,元,.,.,., 与后叉口宝能物负SB11、SB11铺位 ,-1,
红荔村肠粉(红岭店),条评论,元,.,.,., 岭1栋棉阁B铺 ,-,
老V州大排档风味,68,79,7.1,6.4,6.4, 福田街道水围九街号 ,0755-33578733,
麦当劳(振中路店),80,27,8.5,8.5,8.7, 华强北路华强广场一栋11室 ,0755-82577449,
红荔村肠粉(国科店,条评论,元,.,.,., 虹国际科技首商铺E(馆对面) ,-1,
又卷烧饼(海雅缤纷城店),条评论,元,.,.,., 雅缤纷B1-(有茶对面) ,11,
潮盛白粥,条评论,元,.,.,., - ,1,
老牛厨鲜牛肉牛杂店,51,51,7.6,7.1,7.5, 商乐街1-1南山蛇口水湾地铁站C出口斜对面(长青购物广场旁路口直下米) ,18682489913,
俏凤凰(印力中心店),90,35,7.4,7.9,7.8, 侨香路深国投广场负一楼 ,0755-82553235,
晋宝章大同刀削面(常兴店),条评论,元,.,.,., 田统栋 ,1,
仟福粥点(华强北店),65,42,7.6,7.6,7.6, 红荔路南方大厦栋1楼 ,0755-83253992,
肯德基(COCOPARK店),222,29,7.7,7.7,7.6, 福华路星河CoCoPark花园负一楼B1C-A商铺 ,0755-88312097,
卤人甲(沙尾店),1,1,.,.,., 强尾-(地铁线尾地铁B口出右方米) ,1,
蓉李记成都名小吃(福田CCP店),1288,70,7.1,7.6,7.2, 福华三路星河COCOPark楼 ,0755-82786915,
福客FOOOK麻辣烫(连城新天地店),168,33,7.4,7.3,7.2, 福华路地下商城连城新天地一期C铺 ,15818727561,
老班长手工灌汤包(龙华九方店),160,39,7.5,7.6,7.2, 人民路号九方购物中心B1号商铺 ,13392440917,
西北杂粮筐凉皮大王(九方店),1,元,.,.,., 方购物B1A ,-,
麦当劳(大运DT店),114,37,7.9,7.8,7.8, 龙翔大道1号大运中心之号地块部位 ,0755-89902485,
拌粉君(平安金融中心店),13,25,7.2,7.3,7.4, 福田区益田路号平安金融中心负一层美食广场B11A ,15323888755,
大家乐(丰盛町店),条评论,元,.,.,., 车庙侧丰盛町地下BB1C1--1铺 ,-,
老V味牛杂铺(水围店),条评论,1,.,.,., 岗水围1国际1栋1 ,1,
卤人甲(茂业百货店),106,25,7.5,7.1,7.2, 华强北振华路茂业广场地下一楼 ,18018745118,
日月永和(东晓店),条评论,元,.,.,., 翠竹晓1晓 ,-,
和和HUOHUO手工手工手工饮,条评论,元,.,.,., 蛇口龟1(与汇处) ,-,
双潭圩桂林米粉,11,元,.,.,., 发赛格科技1栋(馆对面) ,-,
和欢食尚坊港式牛腩牛杂火锅(东门南路店),109,32,7.5,7.6,7.6, 东门南路天俊大厦裙楼1层11-A铺(链家地产隔壁) ,13392898240,
秦味儿西安手工面(车公庙店),条评论,元,.,.,., 然汇 ,1,
杭州昌记小笼包,83,13,7.4,7.1,7.2, 蛇口新街号 ,18002555726,
城森肠粉店(翻身店),340,21,7.7,6.8,7.2, 顺丰路翻身村五二队-号(近创业天虹) ,15994760105,
电白鸭粥,条评论,元,.,.,0.1, 桃1 ,1,
福客FOOOK麻辣烫(华强北九方店),335,35,7.5,7.6,7.5, 振中路九方购物中心负一楼11号铺位 ,13823651751,
老班长手工灌汤包(8号仓店),102,42,7.3,7.6,7.2, 民康路1号号仓 ,0755-86937713,
福客FOOOK麻辣烫(卓悦汇店),510,31,7.8,7.7,7.6, 上梅林中康路与梅林路交叉口东北角卓悦汇B层 ,15814016199,
一一妈卜卜贝火锅・串串香小吃馆(泛海城市广场店),1,元,.,.,., 泛拉菲期1栋裙11-1(丽对面) ,111,
刘罗锅生煎包(盐田旗舰店),11,元,.,.,., 壹景1(星巴克旁) ,1,
麦当劳(大和路DT店),83,26,8.4,8.4,8.5, 观澜街道大和路西侧中航格澜花园1栋1-1、-号商铺 ,0755-29506900,
永和大王(莲花路店),条评论,元,.,.,., 莲莲11医院外科住院负 ,-,
煎饼志(上梅林店),100,23,7.2,7.7,7.7, 中康路号 ,添加,
麦当劳(侨城西街店),114,27,7.4,7.5,7.5, 侨城西街华侨城购物中心C区1楼(工商银行隔壁) ,0755-26729251,
里巷生煎(星河雅宝店),66,25,7.5,7.7,7.8, 五和大道星河cocopark负一楼 ,0755-28918067,
大家乐(中信店),559,37,7.5,7.7,7.5, 深南中路中信广场商业楼-1层L1-1-1A-11号铺(近许留山、麦当劳) ,0755-25571986,
面道馆(中心书城店),1,元,.,.,., 少宫e出口 ,1,
香港老字号云吞王,145,22,7.4,6.6,7, 沙头角田心市场西二号(-11便利店后) ,0755-25558033,
蛋到捣蛋,28,19,7.6,7.5,7.9, 荔园路号 ,15141484441,
广记餐厅,1,1,.,.,.,11,-,
